name,address,city,postalCode,country,icon,userComment,tag1,tag2,tag3,tag4,tag5,tag6,tag7,coordinates
French Cantine,65 Avenue Gambetta,Bagnolet,93170, France,restaurant,Meilleur sandwich que j’ai mangé. Les plats de pâtes ont l’air délicieux. Que dire de plus.,💸,Grec 🥙,Halal,Pâtes 🍝,Validé ✅,,,"[2.416906, 48.870541]"
La Maison Du Tacos,23 Rue Saint-Spire,Corbeil-Essonnes,91100, France,restaurant,Meilleur endroit pour prendre un tacos FR . 🖕🏾 O'tacos,💸,Halal,Tacos 🇫🇷,Validé ✅,,,,"[2.483511, 48.612176]"
Mamagaya,24 Avenue Henri Barbusse 93700 Drancy France,,,,restaurant,,💸,Grec 🥙,Pâtes 🍝,À faire,,,,"[2.4435894, 48.9159382]"
Broadway Coffee,4 Boulevard Carnot,Villemomble,93250, France,fastfood,,💸,Burger 🍔🍟,À faire,,,,,"[2.5116299, 48.88896039999999]"
O'Cheese Naans,20 Rue Pablo Neruda,Torcy,77200, France,restaurant,,Burger 🍔🍟,Grec 🥙,💸,À faire,,,,"[2.645185499999999, 48.8437061]"
le 129,129 Bis Rue Gabriel Péri,Saint-Denis,93200, France,restaurant,,💸,Grec 🥙,Halal,Validé ✅,,,,"[2.3563828, 48.9404105]"
Snack Mac Kenzi,36 Avenue Victor Hugo 94600 Choisy-le-Roi France,,,,supermarket,,💸,Halal,Grec 🥙,Validé ✅,,,,"[2.4185563, 48.76788140000001]"
The Coffee Time,32 Allée Parmentier,Créteil,94000, France,restaurant,,Grec 🥙,Burger 🍔🍟,Halal,💸,À faire,,,"[2.4450602, 48.7866069]"
Restaurant Sultan,1 Avenue Paul Doumer 93460 Gournay-sur-Marne France,,,,fastfood,,💸,Grec 🥙,À faire,,,,,"[2.5763385, 48.86338839999999]"
Monday's,2 Rue de Mantes,Colombes,92700, France,restaurant,Je ne sais plus j’avais pris exactement mais c’était bon. J’ai pas eu l’occasion de tester leur desserts mais ils ont l’air 👌,Burger 🍔🍟,Validé ✅,Pâtes 🍝,💸,,,,"[2.233353, 48.90989339999999]"
